alpha	beta	ds	gamma	loss	scheme	topic
1.0	0.0	summary	0	18.6785238983	lmd	1
1.0	0.0	summary	0	51.2574718471	lmd	2
0.99	0.01	summary	0	8.71128108002	lmd	3
1.0	0.0	summary	0	18.5412203777	lmd	4
0.01	0.99	summary	0	18.6765073016	lmd	5
0.99	0.01	summary	0	27.9211080033	lmd	6
0.99	0.01	summary	0	25.3598830887	lmd	7
0.99	0.01	summary	0	48.5032213284	lmd	8
0.01	0.99	summary	0	2.7320628478	lmd	9
0.99	0.01	summary	0	7.19869622789	lmd	10
0.01	0.99	summary	0	20.6590516473	lmd	11
0.01	0.99	summary	0	23.631621025	lmd	12
0.01	0.99	summary	0	20.8748501946	lmd	13
0.01	0.99	summary	0	28.6116563352	lmd	14
0.99	0.01	summary	0	22.558964867	lmd	15
0.99	0.01	summary	0	3.4823756395	lmd	16
0.01	0.99	summary	0	15.4072535861	lmd	17
0.99	0.01	summary	0	19.6644414135	lmd	18
0.01	0.99	summary	0	21.6194854647	lmd	19
1.0	0.0	summary	0	30.959607976	lmd	20
0.01	0.99	summary	0	39.2513286576	lmd	21
0.01	0.99	summary	0	12.3918578365	lmd	22
1.0	0.0	summary	0	27.1448043411	lmd	23
0.99	0.01	summary	0	20.5926694366	lmd	24
1.0	0.0	summary	0	4.21631148599	lmd	25
0.01	0.99	summary	0	17.0983992137	lmd	26
0.99	0.01	summary	0	101.711406116	lmd	27
0.99	0.01	summary	0	12.6609567876	lmd	28
0.01	0.99	summary	0	21.1196220988	lmd	29
0.99	0.01	summary	0	16.9294692928	lmd	30
